일자,실제 값,변수 X,모든 변수,이용 횟수,평균 온도,평균 습도,"평균 온도, 평균 습도"
2021-12-01 0:00,2683380,1508138,1298966,1202732,1552237,1500859,1508138
2021-12-01 1:00,499360,597658,701215,602089,642114,588965,597658
2021-12-01 2:00,64176,279211,411250,306225,327184,269323,279211
2021-12-01 3:00,885833,229446,315027,204413,280173,218651,229446
2021-12-01 4:00,0,108603,142896,29378,160431,97381,108603
2021-12-01 5:00,37630,135153,350807,234250,186937,123794,135153
2021-12-01 6:00,586020,328482,203518,81881,386075,316771,328482
2021-12-01 7:00,513600,622472,461480,334918,680036,610622,622472
2021-12-01 8:00,342436,1125960,1348995,1221785,1187248,1114615,1125960
2021-12-01 9:00,2795390,1678765,2313616,2188450,1731722,1668606,1678765
2021-12-01 10:00,1335570,2581896,3309344,3173343,2642124,2572184,2581896
RMSE,,2061583,1959617,1946248,2071470,2061625,2071132
